% ground data set
@relation ground
@attribute H real
@attribute S real
@attribute V real
@attribute class {0, 1}
@data
0.305556, 0.166667, 0.141176, 0
0.104167, 0.352941, 0.266667, 1
0.407407, 0.214286, 0.164706, 1
0.384615, 0.282609, 0.180392, 1
0.193878, 0.604938, 0.317647, 0
0.416667, 0.060606, 0.129412, 0
0.271739, 0.494624, 0.364706, 0
0.096491, 0.351852, 0.211765, 1
0.161458, 0.432432, 0.290196, 0
0.261905, 0.448718, 0.305882, 0
0.274510, 0.320755, 0.207843, 1
0.333333, 0.316667, 0.235294, 1
0.238095, 0.285714, 0.192157, 1
0.267241, 0.547170, 0.415686, 0
0.261905, 0.598291, 0.458824, 0
0.260684, 0.493671, 0.309804, 0
0.267157, 0.586207, 0.454902, 0
0.280000, 0.549451, 0.356863, 0
0.016667, 0.609756, 0.321569, 0
0.280142, 0.484536, 0.380392, 0
0.279570, 0.449275, 0.270588, 1
0.410256, 0.276596, 0.184314, 1
0.279762, 0.383562, 0.286275, 1
0.384615, 0.265306, 0.192157, 1
0.231481, 0.305085, 0.231373, 1
0.111111, 0.075000, 0.156863, 1
0.268116, 0.365079, 0.247059, 0
0.388889, 0.346154, 0.203922, 1
0.270833, 0.523364, 0.419608, 0
0.238739, 0.528571, 0.274510, 0
0.280000, 0.563910, 0.521569, 0
0.638889, 0.166667, 0.141176, 1
0.238095, 0.328125, 0.250980, 0
0.270833, 0.554455, 0.396078, 0
0.733333, 0.135135, 0.145098, 1
0.266667, 0.544554, 0.396078, 0
0.068841, 0.605263, 0.298039, 1
0.533333, 0.238095, 0.164706, 1
0.833333, 0.164706, 1.000000, 1
0.361111, 0.272727, 0.172549, 1
0.666667, 0.205128, 0.152941, 1
0.080247, 0.562500, 0.188235, 1
0.312500, 0.459770, 0.341176, 1
0.805556, 0.136364, 0.172549, 1
0.189542, 0.600000, 0.333333, 1
0.369919, 0.539474, 0.298039, 1
0.270440, 0.535354, 0.388235, 0
0.120690, 0.483333, 0.235294, 1
0.237037, 0.517241, 0.341176, 1
0.571429, 0.179487, 0.152941, 1
0.416667, 0.057143, 0.137255, 1
0.256410, 0.376812, 0.270588, 0
0.267241, 0.557692, 0.407843, 0
0.272487, 0.562500, 0.439216, 0
0.252033, 0.512500, 0.313725, 0
0.314103, 0.351351, 0.290196, 0
0.588889, 0.288462, 0.203922, 1
0.260417, 0.592593, 0.423529, 0
0.364583, 0.285714, 0.219608, 1
0.287037, 0.333333, 0.211765, 0
0.298246, 0.296875, 0.250980, 0
0.340909, 0.536585, 0.643137, 1
0.267241, 0.580000, 0.392157, 0
0.350000, 0.285714, 0.137255, 1
0.268116, 0.389831, 0.231373, 1
0.263158, 0.564356, 0.396078, 0
0.373563, 0.391892, 0.290196, 1
0.266667, 0.555556, 0.352941, 0
0.442029, 0.333333, 0.270588, 1
0.267361, 0.527473, 0.356863, 0
0.413978, 0.413333, 0.294118, 1
0.263889, 0.605042, 0.466667, 1
0.000000, 0.000000, 0.145098, 1
0.633333, 0.138889, 0.141176, 1
0.766667, 0.444444, 0.176471, 1
0.025424, 0.766234, 0.301961, 1
0.234694, 0.569767, 0.337255, 0
0.009009, 0.536232, 0.270588, 1
0.274691, 0.534653, 0.396078, 0
0.277778, 0.476636, 0.419608, 0
0.866667, 0.041494, 0.945098, 1
0.258170, 0.579545, 0.345098, 0
0.992063, 0.591549, 0.278431, 1
0.274510, 0.320755, 0.207843, 1
0.261905, 0.603448, 0.454902, 0
0.571429, 0.184211, 0.149020, 1
0.256039, 0.600000, 0.450980, 0
0.298851, 0.420290, 0.270588, 0
0.262821, 0.536082, 0.380392, 0
0.223164, 0.590000, 0.392157, 1
0.364583, 0.307692, 0.203922, 1
0.666667, 0.058824, 0.133333, 1
0.271318, 0.483146, 0.349020, 0
0.633333, 0.135135, 0.145098, 1
0.272727, 0.417722, 0.309804, 0
0.285714, 0.159091, 0.172549, 0
0.283688, 0.494737, 0.372549, 0
0.274691, 0.540000, 0.392157, 0
0.481481, 0.236842, 0.149020, 1
0.333333, 0.240000, 0.196078, 0
0.009259, 0.593407, 0.356863, 0
0.198276, 0.617021, 0.368627, 1
0.345679, 0.545455, 0.388235, 1
0.270833, 0.459770, 0.341176, 0
0.378788, 0.211538, 0.203922, 1
0.261905, 0.526882, 0.364706, 0
0.270202, 0.573913, 0.450980, 0
0.266667, 0.543478, 0.360784, 0
0.190476, 0.375000, 0.219608, 1
0.250000, 0.494845, 0.380392, 0
0.190476, 0.308824, 0.266667, 0
0.262821, 0.536082, 0.380392, 0
0.312500, 0.163265, 0.192157, 0
0.571429, 0.194444, 0.141176, 1
0.277778, 0.553398, 0.403922, 0
0.333333, 0.170732, 0.160784, 0
0.270833, 0.549020, 0.400000, 0
0.444444, 0.153846, 0.152941, 1
0.233333, 0.416667, 0.235294, 1
0.384615, 0.282609, 0.180392, 1
0.269231, 0.419355, 0.243137, 1
0.260417, 0.566372, 0.443137, 0
0.263441, 0.568807, 0.427451, 0
0.227700, 0.628319, 0.443137, 1
0.285714, 0.362069, 0.227451, 1
0.175000, 0.555556, 0.282353, 1
0.265027, 0.559633, 0.427451, 0
0.309524, 0.494118, 1.000000, 1
0.388889, 0.153846, 0.152941, 1
0.647059, 0.354167, 0.188235, 1
0.070423, 0.663551, 0.419608, 0
0.270833, 0.538462, 0.407843, 0
0.297619, 0.280000, 0.196078, 1
0.407407, 0.209302, 0.168627, 1
0.252976, 0.589474, 0.372549, 0
0.265873, 0.494118, 0.333333, 0
0.333333, 0.316667, 0.235294, 1
0.410256, 0.288889, 0.176471, 1
0.395833, 0.313725, 0.200000, 1
0.215054, 0.476923, 0.254902, 0
0.273333, 0.526316, 0.372549, 0
0.275000, 0.350877, 0.223529, 1
0.274510, 0.232877, 0.286275, 0
0.230159, 0.368421, 0.223529, 0
0.616667, 0.400000, 0.196078, 1
0.345238, 0.274510, 0.200000, 1
0.312500, 0.181818, 0.172549, 1
0.183908, 0.483333, 0.235294, 1
0.269231, 0.240741, 0.211765, 1
0.265625, 0.450704, 0.278431, 0
0.270833, 0.476190, 0.329412, 0
0.259259, 0.551020, 0.384314, 0
0.283688, 0.534091, 0.345098, 0
0.281863, 0.561983, 0.474510, 1
0.277778, 0.083333, 0.141176, 1
0.444444, 0.133333, 0.176471, 1
0.533333, 0.121951, 0.160784, 1
0.250000, 0.324324, 0.145098, 0
0.294118, 0.309091, 0.215686, 0
0.288889, 0.500000, 0.352941, 0
0.271739, 0.505495, 0.356863, 0
0.266667, 0.520833, 0.376471, 0
0.271739, 0.500000, 0.360784, 0
0.266667, 0.511364, 0.345098, 0
0.228889, 0.641026, 0.458824, 1
0.267241, 0.563107, 0.403922, 0
0.410256, 0.282609, 0.180392, 1
0.187500, 0.177778, 0.176471, 0
0.250000, 0.472222, 0.282353, 1
0.325000, 0.307692, 0.254902, 1
0.483333, 0.232558, 0.168627, 1
0.383721, 0.551282, 0.305882, 1
0.265027, 0.554545, 0.431373, 0
0.254237, 0.567308, 0.407843, 0
0.263441, 0.568807, 0.427451, 0
0.458333, 0.111111, 0.141176, 1
0.276515, 0.488889, 0.352941, 0
0.283688, 0.505376, 0.364706, 0
0.009259, 0.562500, 0.376471, 0
0.694444, 0.162162, 0.145098, 1
0.282051, 0.376812, 0.270588, 0
0.274011, 0.556604, 0.415686, 0
0.269231, 0.260000, 0.196078, 1
0.197222, 0.645161, 0.364706, 1
0.258621, 0.420290, 0.270588, 1
0.265873, 0.461538, 0.356863, 0
0.285714, 0.155556, 0.176471, 0
0.533333, 0.250000, 0.156863, 1
0.571429, 0.170732, 0.160784, 1
0.444444, 0.157895, 0.149020, 1
0.267361, 0.631579, 0.298039, 0
0.738095, 0.205882, 0.133333, 1
0.238095, 0.145833, 0.188235, 1
0.121622, 0.462500, 0.313725, 1
0.131944, 0.406780, 0.231373, 1
0.384615, 0.282609, 0.180392, 1
0.258621, 0.446154, 0.254902, 1
0.276423, 0.532468, 0.301961, 0
0.805556, 0.025105, 0.937255, 1
0.241497, 0.544444, 0.352941, 0
0.266667, 0.327869, 0.239216, 0
0.850000, 0.238095, 0.164706, 1
0.350000, 0.196078, 0.200000, 0
0.221154, 0.584270, 0.349020, 1
0.188406, 0.582278, 0.309804, 0
0.272727, 0.434211, 0.298039, 0
0.282051, 0.596330, 0.427451, 0
0.271739, 0.494624, 0.364706, 0
0.274011, 0.567308, 0.407843, 0
0.361111, 0.250000, 0.188235, 1
0.224638, 0.353846, 0.254902, 0
0.265625, 0.426667, 0.294118, 0
0.272727, 0.578947, 0.447059, 1
0.266667, 0.528846, 0.407843, 0
0.666667, 0.058824, 0.133333, 1
0.023810, 0.700000, 0.392157, 0
0.271739, 0.511111, 0.352941, 0
0.183908, 0.467742, 0.243137, 1
0.267361, 0.516129, 0.364706, 0
0.270833, 0.549020, 0.400000, 0
0.266667, 0.550000, 0.392157, 0
0.274011, 0.556604, 0.415686, 0
0.407407, 0.209302, 0.168627, 1
0.263441, 0.574074, 0.423529, 0
0.480000, 0.431034, 0.227451, 1
0.500000, 0.162162, 0.145098, 1
0.409091, 0.255814, 0.168627, 1
0.295739, 0.730769, 0.713725, 1
0.388889, 0.142857, 0.164706, 1
0.175758, 0.679012, 0.317647, 0
0.248062, 0.558442, 0.301961, 1
0.274691, 0.551020, 0.384314, 0
0.224806, 0.565789, 0.298039, 0
0.384615, 0.276596, 0.184314, 1
0.098039, 0.069672, 0.956863, 1
0.166667, 0.142857, 0.219608, 1
0.248485, 0.585106, 0.368627, 0
0.285714, 0.344262, 0.239216, 1
0.777778, 0.090909, 0.129412, 1
0.243243, 0.627119, 0.462745, 1
0.351852, 0.315789, 0.223529, 1
0.318182, 0.211538, 0.203922, 1
0.256039, 0.584746, 0.462745, 1
0.277778, 0.458824, 0.333333, 0
0.370370, 0.339623, 0.207843, 1
0.266667, 0.511364, 0.345098, 0
0.401961, 0.320755, 0.207843, 1
0.258170, 0.531250, 0.376471, 0
0.233333, 0.108696, 0.180392, 0
0.021277, 0.580247, 0.317647, 0
0.133333, 0.546875, 0.250980, 1
0.260000, 0.396825, 0.247059, 1
0.303922, 0.314815, 0.211765, 1
0.263441, 0.568807, 0.427451, 0
0.262821, 0.536082, 0.380392, 0
0.270440, 0.535354, 0.388235, 0
0.265873, 0.494118, 0.333333, 1
0.388889, 0.142857, 0.164706, 0
0.666667, 0.054054, 0.145098, 1
0.193878, 0.569767, 0.337255, 0
